video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
4JGWxG-vE24,revolt charlamagne tha godt joe budden this year was apr 2017,revolt tha joe year,"[""[[217, 50], [262, 62]]"", ""[[226, 66], [249, 80]]"", ""[[280, 66], [302, 80]]"", ""[[204, 82], [302, 124]]""]"
4L43VVORo5c,jph ifex,,[]
4Lng7bi50To,cruiserweigh can roiserwed raw,raw,"[""[[12, 252], [146, 302]]""]"
4MtAl7F6xio,imz,,[]
4OdLgsZOM14,bloodborne cut content,cut content,"[""[[39, 263], [155, 311]]"", ""[[169, 265], [446, 310]]""]"
4SANXNco_y4,dashboard confessional we fight,dashboard confessional fight,"[""[[132, 57], [349, 90]]"", ""[[110, 89], [366, 121]]"", ""[[220, 261], [368, 304]]""]"
4TcIHlJQpEQ,power 106 fm kanye west from wyoming the,power west,"[""[[404, 52], [472, 80]]"", ""[[364, 165], [477, 197]]""]"
4WaNHlisU4c,w enf by 205 e,,[]
4YFo4bdMO8Q,kyle ikuyo feat 2 chainz sophia black 8 liship mine,kyle feat sophia black mine,"[""[[298, 84], [393, 101]]"", ""[[257, 140], [288, 152]]"", ""[[358, 139], [400, 153]]"", ""[[401, 140], [438, 152]]"", ""[[285, 233], [414, 276]]""]"
4cucHc2vef4,boogie,,[]
4diqg8_3a-0,filker,,[]
4eOq4xzaPsA,testing primerip blue,test blue,"[""[[29, 68], [158, 122]]"", ""[[54, 251], [134, 297]]""]"
4hrrK3rXrR0,vha,,[]
4oYYVrEFWE8,music,music,"[""[[29, 277], [128, 306]]""]"
4qOeuzeNfQ8,fall the boachmble nimiarea,fall,"[""[[313, 6], [408, 52]]""]"
4uTNVumfm84,vevo,,[]
4ughEPQGd8w,vevo,,[]
4xN-jUfJAyM,vevo,,[]
4zD4HPlc-BE,good and being apr vevo,good,"[""[[202, 108], [304, 169]]""]"
51tc6o12uqA,kidecoribe perfect world,perfect world,"[""[[241, 96], [354, 116]]"", ""[[361, 96], [454, 117]]""]"
52L2HML5O1k,otheo star wars show it,star war show,"[""[[79, 116], [221, 152]]"", ""[[77, 150], [222, 185]]"", ""[[78, 188], [217, 221]]""]"
54BVvP7zvDQ,snl,,[]
