video_id,thumbnail_link,region,mean_r,mean_g,mean_b,std_r,std_g,std_b,entropy,thumb_ocr_text,clean_thumb_ocr_text
54Eae2ewc1c,https://i.ytimg.com/vi/54Eae2ewc1c/default.jpg,GB,37.97222800925926,41.0297800925926,44.64039351851852,59.49441927036856,60.759205633039294,66.47052431082128,5.898326101885565," 
",
PoNWU2cox9w,https://i.ytimg.com/vi/PoNWU2cox9w/default.jpg,GB,116.18892939814816,119.73964699074074,126.00953703703703,108.32614604951644,106.42973969066784,104.4964405040423,4.897841872735206," 
",
mwpHSMv1pI4,https://i.ytimg.com/vi/mwpHSMv1pI4/default.jpg,GB,107.22402199074074,97.76574074074074,86.54159722222222,83.85129884278948,83.60234694232089,79.07193458564774,6.816773368363749," 
",
cpvoCLX8agc,https://i.ytimg.com/vi/cpvoCLX8agc/default.jpg,GB,80.40663194444444,100.79411458333334,23.7696875,36.93905873440824,36.97808505574356,45.06872542801124,6.879902848395926," 
",
KdFRkillEfM,https://i.ytimg.com/vi/KdFRkillEfM/default.jpg,GB,,,,,,,,,
E7q_wbbwGyU,https://i.ytimg.com/vi/E7q_wbbwGyU/default.jpg,GB,29.12080439814815,41.50407407407408,45.3147974537037,30.589986523527724,40.329028490128,42.52275786125201,6.006554592828846,"-vevo

 
",
vLVSf_yI_r8,https://i.ytimg.com/vi/vLVSf_yI_r8/default.jpg,GB,96.37041087962965,108.37537037037038,101.05889467592591,80.96623303479224,85.83478599014957,78.79241037710898,6.659636195278186," 
",
kGOmPmILndU,https://i.ytimg.com/vi/kGOmPmILndU/default.jpg,GB,43.64813078703704,35.87161458333333,32.57800347222222,39.74997847483444,34.83365553162234,32.05316082952393,5.934294614659594," 
",
F6rBIWN8SsM,https://i.ytimg.com/vi/F6rBIWN8SsM/default.jpg,GB,76.69523148148149,38.58263888888889,40.15893518518519,72.80666789038698,48.9502764006665,55.25334637744345,6.412153366790956," 
",
vht9VHo8r5c,https://i.ytimg.com/vi/vht9VHo8r5c/default.jpg,GB,103.47796296296296,113.86832175925926,128.48434606481482,88.2754389707315,85.39077696371052,92.56949996846548,6.889389679008595," 
",
