video_id,category_id
f1xIeTCgoFk,22.0
hph2mamrzfE,22.0
ymrTNoGnP5Q,24.0
BVRvrvCQdmg,20.0
JwfZqomlPsk,20.0
76owSh_PPG4,23.0
gLOxQxMnEz8,24.0
HEVonh8bjC0,1.0
JVDyowAzBrU,10.0
80T59B2RVOo,24.0
__1SjDrSMik,22.0
FtX7GY_iPok,24.0
CWAX-tiepMo,1.0
GJTtiYMdMtk,10.0
bYXM3uz1bjM,10.0
wrpeEitIEpA,1.0
NHrwcQQ38bA,17.0
ArVEH6KS6dA,10.0
EFNeulNdfRI,1.0
_J7dEhYttbQ,26.0
SDGHRQyZKes,23.0
LxoGNkLpgZk,10.0
q57eQqq9-IA,20.0
9StYOIBLanM,24.0
OZhUjWMS0qg,22.0
lpzJNwur6Zk,10.0
DlU4ZSU2xzg,24.0
51cbHTKdILA,10.0
dNW0B0HsvVs,24.0
2z3EUY1aXdY,17.0
qUmfriZoMw0,1.0
EZOZ-XD5wmg,22.0
48-pr5-G6Pw,10.0
ceyU5UBumLU,22.0
l3vbvF8bQfI,10.0
_zhR6d6LDzM,1.0
ClM-MORjXQI,15.0
gIsDpBMXbLo,24.0
YpnV0M6XTc8,23.0
VXvu5rtJNd4,24.0
yZhoHsgJlEo,24.0
IVzGsh0zRec,22.0
eACohWVwTOc,10.0
pVxOVlm_lE8,24.0
IX3_Aqji4yE,27.0
47_BVBakJqY,20.0
_fQtxKmgJC8,20.0
ElKPnh0Q8pU,1.0
IkV5VpEROW0,22.0
qtTM2YV3bI8,10.0
CfyMD5rSK50,1.0
IIS1M7m9tw8,22.0
tJoAYpurA6k,25.0
J6-8DQALGt4,24.0
qfZcxeqa1g4,24.0
zkG4Xpz6t68,10.0
cWGWYAhLuAQ,24.0
chjObfl72xQ,23.0
QS8bma7LRX4,24.0
V6wWKNij_1M,1.0
c8ngetsBSGk,24.0
af6L1jBZGYA,23.0
T1B1CxmAXLk,24.0
oI42BohDabU,24.0
upIaeqJEA2I,10.0
cq6wjjN73Q0,22.0
lHG6I6Ec4yA,1.0
HjnwaagBigA,25.0
WAwRrtH-4Lg,23.0
AtCLwYFRp4o,23.0
494VkPnSvJk,26.0
sIbv19R2rfY,22.0
n1PrGpIekYY,10.0
7sce--mR0kA,17.0
izyX4qtsVew,1.0
V69XYIRjKww,24.0
0GQmGOju6CE,24.0
OTVF8zFIyyQ,24.0
d7gOtEwaJzw,10.0
cosN6ilQ5u0,26.0
zMV51hydg8E,23.0
eQ3gXtX3U7I,22.0
7R1N-8SoqcM,10.0
08qd-vsHbaY,10.0
9S1Gc1nSXd4,10.0
4uTNVumfm84,10.0
wbSwFU6tY1c,28.0
FJ_TFXjr__4,24.0
pisY6J2Ky6U,24.0
ZnHW63aXXB8,24.0
A9k89DYdHKQ,10.0
7RZzxbZ6WWY,10.0
HtNWc1AIU20,17.0
7-T08gSQmxk,26.0
geeTiovdXLQ,27.0
61G3tDZQNhg,17.0
KIEVOMxKWxc,20.0
YBpdL9hSac4,1.0
_0ovuLsnU1A,24.0
D_eZxSYRhco,24.0
7Usr96nwjqI,24.0
sD9_l3oDOag,10.0
v4DFeT9z7yY,24.0
xYtsL9znopI,10.0
uwbd0-gaoY8,22.0
VQhvtVJvcdg,24.0
ZlPgrJFMFYY,24.0
yzshoDMBkqE,25.0
9vDdx1dba6c,10.0
9lH5NgUnPUs,22.0
nt7b-Qp34hk,23.0
v_Gdg-fEz6k,10.0
OTHHeIAYfuU,10.0
IdyXKJ8NcNI,22.0
Xg_4tbLnIOc,10.0
kZkIDiw0jDU,24.0
n0j_CX1S2es,17.0
hFFn8K2O4po,23.0
V-F7tpdPZ-E,15.0
mcsTWPSMDtg,22.0
NNJKWVmK-GM,19.0
OjhBeB9ESqw,22.0
oEtEBOy0ys8,24.0
GWMKelv5Bmw,23.0
8BAhwgjMvnM,1.0
iqsQ0KHImrU,10.0
V0nfRcc4PJ0,24.0
wjOK-U2GhIs,26.0
NooW_RbfdWI,24.0
QH9UE7FDbcM,24.0
M2zrC1QF7Zo,10.0
jzD_yyEcp0M,10.0
vHwOMWGAg_o,23.0
gZItyr1SNjU,10.0
rNYduKIyEvA,10.0
tJFk9dPdxO0,24.0
XR2ezV6pusk,23.0
l1DTeah8YAs,26.0
ixNNLvyCn5Y,1.0
r1CMjQ0QJ1E,10.0
7KPcfdbVTic,24.0
B7AjF4of300,17.0
lp_bsz_4e3U,24.0
p5N6tFob_Rw,23.0
GEsK9GudV2M,10.0
UedDBjWIMgU,24.0
Q17z9a03YaM,24.0
XZ-IYxacK3I,10.0
UDIkXCDdLTo,17.0
VTzD0jNdrmo,10.0
7FM_MfpYOLU,1.0
o4fHlldbRHo,23.0
N6hVmn9FM7o,20.0
6QtjdDiMLVg,10.0
YFHHGETsxkE,1.0
6J-D86wfxiE,24.0
IrmTRb2Ar1I,1.0
p55AlBd8XDU,10.0
rog8VV2A2bY,23.0
l8B5dqjsZUs,1.0
og77pfVFJTs,24.0
m4-sL1r9i1I,10.0
xIZPbhq37WQ,15.0
LHUKKrcXfJs,10.0
Vm4Xn5vjqRA,17.0
OTu9N40E_MI,1.0
qT6KNyLEV24,17.0
_hMQe2U4c6w,10.0
m4faDISwSVo,1.0
rplCCSqWXIY,15.0
ev2RHDUkE4M,24.0
2ATuTL5i0_c,26.0
w-n3YPSHv4s,25.0
SFKPktgfQdI,10.0
tGRzz0oqgUE,10.0
aAG9G35ioT8,1.0
AOvCyD9bbDM,10.0
JQbjS0_ZfJ0,10.0
Ew-3-8itpjc,26.0
dQhH0vPTSZY,22.0
C0Uv23ELQMQ,24.0
abSc5wLOqBM,24.0
xLtYmhj-0Kg,24.0
e1bEWoblGZA,22.0
ABLsSWE06q4,10.0
PdWe5ULGy_s,23.0
73_OWzBr8Fo,10.0
9yDNAc8YS9c,24.0
Jb3xzXyNh8I,20.0
YWE9YX-Km-M,26.0
wfWIs2gFTAM,10.0
HTDNGv61-Dk,1.0
dzxFdtWmjto,24.0
QBOzHhuTzvw,24.0
aMGQgC5yV-o,10.0
JpvC3j9Qxus,24.0
QZL2NrrhjHY,24.0
nRRBajXoN4M,1.0
TlvsuVe8Fh0,26.0
A70B_LKyOrU,10.0
m6qubM54PtE,23.0
MYATU9yZODE,22.0
JNkTNAknE4I,10.0
3TPY4TKo6uQ,24.0
eT2D50_pgUU,20.0
STEUAcTmXTg,10.0
zXV4Sgeyr2c,20.0
kLpH1nSLJSs,10.0
305ryPvU6A8,28.0
4HU6Z7anycw,1.0
VLuS34uhLJQ,26.0
QkR_xPPmT70,24.0
M39tO96E6B0,23.0
YtKap-E0OGM,10.0
_AsPY1bQx70,10.0
79dZ8JBTIL4,24.0
gzVTDKK-EKM,22.0
7bPSxB-8__o,1.0
8gHURYmTzFs,26.0
Vctcsa8Slxo,24.0
elwTgpHlty0,10.0
4AtOU0dDXv8,25.0
ir0G79oHXMc,10.0
lRkTgVynmbM,23.0
USc52ljSmuI,22.0
VloKUNlNG2s,10.0
sZoZryCb0P0,10.0
_yiQHtBFYkg,10.0
ctmgkGEOKI4,25.0
mctn16hLzhg,24.0
dtER80sOjX4,24.0
0XElmYomloA,10.0
AcZBI8UaMso,17.0
p03TIGqEc8o,10.0
IUmdcd_8Vwc,26.0
BhIEIO0vaBE,22.0
pspGtXW0QYo,15.0
zorKvDiLbxw,24.0
_I_D_8Z4sJE,10.0
SCPkXjwSWCY,26.0
-7tSTUR7FG0,10.0
yzGmnjDFuZE,24.0
kCwMARo94QY,24.0
HMvx0NbQ-Y0,17.0
mMHT2vdWvpg,20.0
kton-qrKNLc,10.0
R8jVjBDcV4M,20.0
LjUXm0Zy_dk,10.0
FxFF5bgG6xs,23.0
Uv1xscwDtIQ,1.0
h-6fIyaVmDM,24.0
SphTGtDlhHw,10.0
z85JsxyICg8,10.0
BQ31l1gPGKM,10.0
TUUUh-51t1k,1.0
EpW_OEuHNX8,24.0
A_xWDAbnBSU,10.0
Yv_rod8-Ma0,20.0
wowAOdTYqw8,10.0
VygnE7XlWJc,20.0
EC5UCCnk59c,17.0
T3hXC5yNZOc,10.0
NhNJjvStrJM,24.0
-5aaJJQFvOg,10.0
7GD1oeLeGUU,10.0
95Rzsn-zjr0,10.0
nIwCVaYR-HU,20.0
LJjsm6CVsG8,10.0
LtqHnoHMQOY,24.0
pgN-vvVVxMA,10.0
WR7cc5t7tv8,1.0
wjdXv3bOtqc,10.0
PAQjrGGhoUA,24.0
YiEFcURJ67U,24.0
