video_id,thumb_ocr_text_V2,clean_thumb_ocr_text_V2,bboxes
ukaIEtyFxYU,jimmy kimmel livei,jimmy kimmel livei,"[""[[41, 205], [105, 230]]"", ""[[11, 207], [180, 302]]"", ""[[109, 270], [166, 289]]""]"
un-rfEyPBO4,42 at hebbic,hebbic,"[""[[332, 273], [458, 300]]""]"
un6Kc77Mi5U,crhnews,crhnews,"[""[[17, 56], [60, 65]]""]"
unaRagDUS30,to to bed with me,bed,"[""[[17, 170], [218, 260]]""]"
uoIkLWDiaZE,all,,[]
up4nejmEJ_k,s mirror black what dj the hang 12 about hours says love screenprism,mirror black hang hour say love screenprism,"[""[[232, 72], [345, 120]]"", ""[[129, 86], [230, 130]]"", ""[[37, 140], [130, 177]]"", ""[[338, 182], [365, 192]]"", ""[[42, 182], [125, 220]]"", ""[[45, 219], [131, 255]]"", ""[[40, 280], [141, 305]]""]"
upGAJlhGWt4,johnny marr walk into the sea,johnny marr walk sea,"[""[[33, 78], [137, 98]]"", ""[[36, 96], [138, 126]]"", ""[[33, 250], [84, 274]]"", ""[[169, 252], [205, 274]]""]"
upMTUpGNpzs,renan rissardo nao deixar posso mas voce com amor,renan rissardo nao deixar posso voce com amor,"[""[[406, 46], [478, 66]]"", ""[[378, 66], [479, 86]]"", ""[[192, 254], [224, 269]]"", ""[[277, 254], [329, 269]]"", ""[[223, 255], [276, 270]]"", ""[[216, 272], [258, 288]]"", ""[[178, 274], [213, 288]]"", ""[[261, 274], [304, 288]]""]"
urBACRXcKnA,otthoni hely ahova mehetek egy hogy levessem vallamrol ezt a valaki vigyen haza i2xl vala powerdirector by,otthoni hely ahova mehetek egy hogy levessem vallamrol ezt valaki vigyen haza i2xl vala powerdirector,"[""[[32, 65], [110, 85]]"", ""[[153, 64], [203, 89]]"", ""[[204, 65], [265, 85]]"", ""[[269, 65], [360, 88]]"", ""[[114, 69], [152, 89]]"", ""[[29, 89], [84, 117]]"", ""[[84, 90], [180, 110]]"", ""[[234, 90], [329, 110]]"", ""[[182, 93], [216, 110]]"", ""[[33, 116], [94, 136]]"", ""[[96, 116], [162, 140]]"", ""[[164, 115], [221, 137]]"", ""[[224, 117], [266, 136]]"", ""[[33, 168], [84, 196]]"", ""[[363, 285], [470, 301]]""]"
urImYAUDcw8,ooh now fll never get over you until find something new that get you me high like do yeah yeah ooh now pll never get over you until find something new that get me high like you do,ooh fll never get find something new high like yeah pll,"[""[[24, 184], [62, 208]]"", ""[[102, 86], [132, 106]]"", ""[[133, 186], [185, 206]]"", ""[[86, 237], [117, 256]]"", ""[[108, 212], [145, 230]]"", ""[[146, 212], [233, 230]]"", ""[[236, 212], [272, 230]]"", ""[[146, 237], [184, 256]]"", ""[[185, 237], [221, 257]]"", ""[[164, 161], [206, 181]]"", ""[[100, 186], [130, 206]]""]"
